"date","region","hospitalized","intensive_care","deceassed","cases_registered","recovered"
2020-02-23,"Baleares",NA,NA,NA,1,NA
2020-02-24,"Baleares",NA,NA,NA,1,NA
2020-02-25,"Baleares",NA,NA,NA,1,NA
2020-02-26,"Baleares",NA,NA,NA,1,NA
2020-02-27,"Baleares",NA,NA,NA,1,NA
2020-02-28,"Baleares",NA,NA,NA,2,NA
2020-02-29,"Baleares",NA,NA,NA,2,NA
2020-03-01,"Baleares",NA,NA,NA,2,NA
2020-03-02,"Baleares",NA,NA,NA,2,NA
2020-03-03,"Baleares",NA,NA,NA,5,NA
2020-03-04,"Baleares",NA,NA,NA,6,NA
2020-03-05,"Baleares",NA,NA,NA,6,NA
2020-03-06,"Baleares",NA,NA,NA,6,NA
2020-03-07,"Baleares",NA,NA,NA,8,NA
2020-03-08,"Baleares",NA,1,0,11,NA
2020-03-09,"Baleares",NA,1,0,13,NA
2020-03-10,"Baleares",8,1,0,16,NA
2020-03-11,"Baleares",8,2,1,22,NA
2020-03-12,"Baleares",8,2,1,28,NA
2020-03-13,"Baleares",8,2,1,28,NA
2020-03-14,"Baleares",8,2,1,42,NA
2020-03-15,"Baleares",21,4,1,73,NA
2020-03-16,"Baleares",26,4,1,92,NA
2020-03-17,"Baleares",29,4,1,112,NA
2020-03-18,"Baleares",31,7,2,169,NA
2020-03-19,"Baleares",48,10,2,203,NA
2020-03-20,"Baleares",60,14,4,246,NA
2020-03-21,"Baleares",79,14,4,331,NA
2020-03-22,"Baleares",87,27,10,400,NA
2020-03-23,"Baleares",127,35,10,478,NA
2020-03-24,"Baleares",164,40,13,562,NA
2020-03-25,"Baleares",205,43,17,660,NA
2020-03-26,"Baleares",237,46,22,755,NA
2020-03-27,"Baleares",283,59,26,862,NA
2020-03-28,"Baleares",344,71,29,958,NA
2020-03-29,"Baleares",352,80,37,1000,NA
2020-03-30,"Baleares",398,85,42,1069,NA
2020-03-31,"Baleares",467,94,46,1131,NA
2020-04-01,"Baleares",516,104,58,1204,NA
2020-04-02,"Baleares",586,111,69,1257,NA
2020-04-03,"Baleares",633,113,71,1271,NA
2020-04-04,"Baleares",663,119,75,1293,NA
2020-04-05,"Baleares",681,120,81,1320,NA
2020-04-06,"Baleares",703,123,84,1369,NA
2020-04-07,"Baleares",729,128,89,1412,NA
2020-04-08,"Baleares",749,131,89,1448,NA
2020-04-09,"Baleares",775,135,97,1488,NA
2020-04-10,"Baleares",776,136,102,1507,NA
2020-04-11,"Baleares",803,141,112,1534,NA
2020-04-12,"Baleares",809,142,117,1550,NA
2020-04-13,"Baleares",824,144,118,1571,NA
2020-04-14,"Baleares",854,147,125,1605,NA
2020-04-15,"Baleares",869,150,131,1636,NA
2020-04-16,"Baleares",902,150,134,1667,NA
2020-04-17,"Baleares",934,155,148,1747,NA
2020-04-18,"Baleares",952,158,155,1772,NA
2020-04-19,"Baleares",960,159,157,1787,NA
2020-04-20,"Baleares",983,159,161,1807,NA
2020-04-21,"Baleares",1001,163,164,1834,NA
2020-04-22,"Baleares",1018,162,168,1859,NA
2020-04-23,"Baleares",1036,162,172,1876,NA
2020-04-24,"Baleares",1053,162,174,1905,NA
2020-04-25,"Baleares",1057,162,175,1915,NA
2020-04-26,"Baleares",1057,162,179,1920,NA
2020-04-27,"Baleares",1069,162,181,1938,NA
2020-04-28,"Baleares",1074,162,185,1948,NA
2020-04-29,"Baleares",1077,163,188,1953,NA
2020-04-30,"Baleares",1085,163,193,1968,NA
2020-05-01,"Baleares",1089,163,197,1980,NA
2020-05-02,"Baleares",1094,163,197,1986,NA
2020-05-03,"Baleares",1097,163,197,1987,NA
2020-05-04,"Baleares",1105,164,198,1993,NA
2020-05-05,"Baleares",1117,164,199,2009,NA
2020-05-06,"Baleares",1121,164,201,2019,NA
2020-05-07,"Baleares",1121,164,202,2025,NA
2020-05-08,"Baleares",1121,165,207,2038,NA
2020-05-09,"Baleares",1121,165,209,2051,NA
2020-05-10,"Baleares",1121,165,209,2054,NA
2020-05-11,"Baleares",1122,166,210,2054,NA
2020-05-12,"Baleares",1127,168,215,2059,NA
2020-05-13,"Baleares",1127,168,216,2060,NA
2020-05-14,"Baleares",1132,168,216,2069,NA
2020-05-15,"Baleares",1132,168,216,2085,NA
2020-05-16,"Baleares",1134,168,218,2094,NA
2020-05-17,"Baleares",1134,168,218,2096,NA
2020-05-18,"Baleares",1137,168,219,2109,NA
2020-05-19,"Baleares",1142,168,221,2122,NA
2020-05-20,"Baleares",1144,169,221,2131,NA
2020-02-20,"Cantabria",NA,NA,NA,0,NA
2020-02-21,"Cantabria",NA,NA,NA,0,NA
2020-02-22,"Cantabria",NA,NA,NA,0,NA
2020-02-23,"Cantabria",NA,NA,NA,0,NA
2020-02-24,"Cantabria",NA,NA,NA,0,NA
2020-02-25,"Cantabria",NA,NA,NA,0,NA
2020-02-26,"Cantabria",NA,NA,NA,0,NA
2020-02-27,"Cantabria",NA,NA,NA,0,NA
2020-02-28,"Cantabria",NA,NA,NA,0,NA
2020-02-29,"Cantabria",NA,NA,NA,1,NA
2020-03-01,"Cantabria",NA,NA,NA,10,NA
2020-03-02,"Cantabria",NA,NA,NA,10,NA
2020-03-03,"Cantabria",NA,NA,NA,10,NA
2020-03-04,"Cantabria",NA,NA,NA,10,NA
2020-03-05,"Cantabria",NA,NA,NA,10,NA
2020-03-06,"Cantabria",NA,NA,NA,10,NA
2020-03-07,"Cantabria",NA,NA,NA,12,NA
2020-03-08,"Cantabria",NA,0,0,12,NA
2020-03-09,"Cantabria",NA,0,0,12,NA
2020-03-10,"Cantabria",0,0,0,12,NA
2020-03-11,"Cantabria",3,0,0,16,NA
2020-03-12,"Cantabria",3,0,0,29,NA
2020-03-13,"Cantabria",3,0,0,31,NA
2020-03-14,"Cantabria",3,0,0,51,NA
2020-03-15,"Cantabria",18,2,0,58,NA
2020-03-16,"Cantabria",18,2,0,58,NA
2020-03-17,"Cantabria",25,3,1,68,NA
2020-03-18,"Cantabria",40,4,1,83,NA
2020-03-19,"Cantabria",61,7,1,144,NA
2020-03-20,"Cantabria",92,9,2,215,NA
2020-03-21,"Cantabria",116,9,5,282,NA
2020-03-22,"Cantabria",157,14,6,347,NA
2020-03-23,"Cantabria",200,16,9,425,NA
2020-03-24,"Cantabria",241,18,14,510,NA
2020-03-25,"Cantabria",300,26,17,671,NA
2020-03-26,"Cantabria",355,29,21,810,NA
2020-03-27,"Cantabria",406,37,22,937,NA
2020-03-28,"Cantabria",449,40,26,1023,NA
2020-03-29,"Cantabria",481,46,27,1100,NA
2020-03-30,"Cantabria",522,50,37,1171,NA
2020-03-31,"Cantabria",543,54,54,1213,NA
2020-04-01,"Cantabria",567,57,60,1268,NA
2020-04-02,"Cantabria",592,59,64,1321,NA
2020-04-03,"Cantabria",619,60,68,1384,NA
2020-04-04,"Cantabria",639,62,68,1441,NA
2020-04-05,"Cantabria",658,65,77,1483,NA
2020-04-06,"Cantabria",677,66,85,1501,NA
2020-04-07,"Cantabria",700,69,92,1572,NA
2020-04-08,"Cantabria",720,71,98,1619,NA
2020-04-09,"Cantabria",747,73,102,1659,NA
2020-04-10,"Cantabria",773,75,107,1719,NA
2020-04-11,"Cantabria",805,75,110,1752,NA
2020-04-12,"Cantabria",827,75,117,1777,NA
2020-04-13,"Cantabria",853,76,120,1796,NA
2020-04-14,"Cantabria",873,76,132,1823,NA
2020-04-15,"Cantabria",890,77,137,1845,NA
2020-04-16,"Cantabria",903,78,144,1884,NA
2020-04-17,"Cantabria",911,78,149,1990,NA
2020-04-18,"Cantabria",924,78,153,2050,NA
2020-04-19,"Cantabria",934,78,158,2083,NA
2020-04-20,"Cantabria",948,78,165,2108,NA
2020-04-21,"Cantabria",956,78,167,2160,NA
2020-04-22,"Cantabria",965,78,173,2206,NA
2020-04-23,"Cantabria",978,78,178,2273,NA
2020-04-24,"Cantabria",982,78,182,2315,NA
2020-04-25,"Cantabria",991,78,183,2330,NA
2020-04-26,"Cantabria",995,78,186,2350,NA
2020-04-27,"Cantabria",1000,78,188,2386,NA
2020-04-28,"Cantabria",1006,79,191,2439,NA
2020-04-29,"Cantabria",1007,79,191,2505,NA
2020-04-30,"Cantabria",1009,79,192,2547,NA
2020-05-01,"Cantabria",1009,79,193,2577,NA
2020-05-02,"Cantabria",1010,79,195,2589,NA
2020-05-03,"Cantabria",1011,79,197,2596,NA
2020-05-04,"Cantabria",1015,79,198,2607,NA
2020-05-05,"Cantabria",1018,79,199,2626,NA
2020-05-06,"Cantabria",1020,79,200,2642,NA
2020-05-07,"Cantabria",1022,79,201,2665,NA
2020-05-08,"Cantabria",1023,79,201,2681,NA
2020-05-09,"Cantabria",1027,79,201,2684,NA
2020-05-10,"Cantabria",1027,79,201,2685,NA
2020-05-11,"Cantabria",1027,79,203,2691,NA
2020-05-12,"Cantabria",1029,79,205,2733,NA
2020-05-13,"Cantabria",1030,79,205,2739,NA
2020-05-14,"Cantabria",1031,79,206,2761,NA
2020-05-15,"Cantabria",1032,79,206,2770,NA
2020-05-16,"Cantabria",1033,79,207,2773,NA
2020-05-17,"Cantabria",1035,79,207,2774,NA
2020-05-18,"Cantabria",1035,79,208,2782,NA
2020-05-19,"Cantabria",1036,79,209,2787,NA
2020-05-20,"Cantabria",1036,79,209,2798,NA
2020-02-20,"Madrid",NA,NA,NA,1,NA
2020-02-21,"Madrid",NA,NA,NA,1,NA
2020-02-22,"Madrid",NA,NA,NA,1,NA
2020-02-23,"Madrid",NA,NA,NA,1,NA
2020-02-24,"Madrid",NA,NA,NA,1,NA
2020-02-25,"Madrid",NA,NA,NA,2,NA
2020-02-26,"Madrid",NA,NA,NA,6,NA
2020-02-27,"Madrid",NA,NA,NA,10,NA
2020-02-28,"Madrid",NA,NA,NA,20,NA
2020-02-29,"Madrid",NA,NA,NA,27,NA
2020-03-01,"Madrid",NA,NA,NA,53,NA
2020-03-02,"Madrid",NA,NA,NA,96,NA
2020-03-03,"Madrid",NA,NA,NA,142,NA
2020-03-04,"Madrid",NA,NA,NA,199,NA
2020-03-05,"Madrid",NA,NA,NA,311,NA
2020-03-06,"Madrid",NA,NA,NA,515,NA
2020-03-07,"Madrid",NA,NA,NA,738,NA
2020-03-08,"Madrid",NA,61,16,1003,NA
2020-03-09,"Madrid",NA,120,21,1508,NA
2020-03-10,"Madrid",571,184,31,2213,NA
2020-03-11,"Madrid",868,238,56,2943,NA
2020-03-12,"Madrid",1290,307,81,3732,NA
2020-03-13,"Madrid",1699,370,86,4672,NA
2020-03-14,"Madrid",2207,469,213,5576,NA
2020-03-15,"Madrid",2747,566,213,6392,NA
2020-03-16,"Madrid",3314,702,355,7653,NA
2020-03-17,"Madrid",3934,850,390,9601,NA
2020-03-18,"Madrid",4874,1011,498,11356,NA
2020-03-19,"Madrid",6189,1196,628,13399,NA
2020-03-20,"Madrid",7535,1401,804,15722,NA
2020-03-21,"Madrid",9063,1532,1021,17397,NA
2020-03-22,"Madrid",10771,1664,1263,18900,NA
2020-03-23,"Madrid",12053,1813,1535,21569,NA
2020-03-24,"Madrid",13297,1962,1825,24475,NA
2020-03-25,"Madrid",15024,2117,2090,27422,NA
2020-03-26,"Madrid",17093,2272,2412,30796,NA
2020-03-27,"Madrid",19098,2369,2757,33162,NA
2020-03-28,"Madrid",21311,2423,3082,34189,NA
2020-03-29,"Madrid",23125,2464,3392,35061,NA
2020-03-30,"Madrid",23913,2554,3603,37607,NA
2020-03-31,"Madrid",24553,2627,3865,39409,NA
2020-04-01,"Madrid",26112,2694,4175,41199,NA
2020-04-02,"Madrid",27325,2764,4483,43038,NA
2020-04-03,"Madrid",28420,2821,4723,44779,NA
2020-04-04,"Madrid",29542,2854,4941,45671,NA
2020-04-05,"Madrid",30490,2879,5136,46197,NA
2020-04-06,"Madrid",31109,2958,5371,47763,NA
2020-04-07,"Madrid",31554,3002,5586,49160,NA
2020-04-08,"Madrid",32487,3038,5800,50580,NA
2020-04-09,"Madrid",33278,3061,5972,51535,NA
2020-04-10,"Madrid",33986,3091,6084,52400,NA
2020-04-11,"Madrid",34545,3105,6278,52944,NA
2020-04-12,"Madrid",35053,3122,6423,53285,NA
2020-04-13,"Madrid",35400,3153,6568,54287,NA
2020-04-14,"Madrid",35688,3180,6724,55398,NA
2020-04-15,"Madrid",36251,3203,6877,56304,NA
2020-04-16,"Madrid",36851,3214,7007,57157,NA
2020-04-17,"Madrid",37248,3228,7132,57978,NA
2020-04-18,"Madrid",37626,3238,7239,60941,NA
2020-04-19,"Madrid",37970,3248,7351,61336,NA
2020-04-20,"Madrid",38161,3278,7460,61972,NA
2020-04-21,"Madrid",38328,3283,7577,62904,NA
2020-04-22,"Madrid",38620,3288,7684,64050,NA
2020-04-23,"Madrid",38837,3305,7765,64634,NA
2020-04-24,"Madrid",39064,3307,7848,65310,NA
2020-04-25,"Madrid",39217,3308,7922,65546,NA
2020-04-26,"Madrid",39350,3309,7986,66007,NA
2020-04-27,"Madrid",39423,3338,8048,66784,NA
2020-04-28,"Madrid",39850,3355,8105,67460,NA
2020-04-29,"Madrid",40076,3377,8176,67942,NA
2020-04-30,"Madrid",40293,3392,8222,68356,NA
2020-05-01,"Madrid",40457,3404,8292,68537,NA
2020-05-02,"Madrid",40597,3421,8332,68654,NA
2020-05-03,"Madrid",40741,3431,8376,68766,NA
2020-05-04,"Madrid",40851,3442,8420,69178,NA
2020-05-05,"Madrid",41031,3465,8466,69509,NA
2020-05-06,"Madrid",41159,3485,8504,69885,NA
2020-05-07,"Madrid",41304,3493,8552,70125,NA
2020-05-08,"Madrid",41436,3508,8598,70407,NA
2020-05-09,"Madrid",41559,3520,8644,70516,NA
2020-05-10,"Madrid",41650,3529,8683,70570,NA
2020-05-11,"Madrid",41735,3543,8720,70764,NA
2020-05-12,"Madrid",41856,3555,8760,71064,NA
2020-05-13,"Madrid",41962,3564,8779,71273,NA
2020-05-14,"Madrid",42057,3574,8809,71616,NA
2020-05-15,"Madrid",42157,3577,8826,71932,NA
2020-05-16,"Madrid",42227,3584,8847,71956,NA
2020-05-17,"Madrid",42283,3594,8863,71995,NA
2020-05-18,"Madrid",42350,3600,8894,72121,NA
2020-05-19,"Madrid",42422,3610,8912,72260,NA
2020-05-20,"Madrid",42497,3617,8931,72342,NA
2020-02-20,"Murcia",NA,NA,NA,0,NA
2020-02-21,"Murcia",NA,NA,NA,0,NA
2020-02-22,"Murcia",NA,NA,NA,0,NA
2020-02-23,"Murcia",NA,NA,NA,0,NA
2020-02-24,"Murcia",NA,NA,NA,0,NA
2020-02-25,"Murcia",NA,NA,NA,0,NA
2020-02-26,"Murcia",NA,NA,NA,0,NA
2020-02-27,"Murcia",NA,NA,NA,0,NA
2020-02-28,"Murcia",NA,NA,NA,0,NA
2020-02-29,"Murcia",NA,NA,NA,0,NA
2020-03-01,"Murcia",NA,NA,NA,0,NA
2020-03-02,"Murcia",NA,NA,NA,0,NA
2020-03-03,"Murcia",NA,NA,NA,0,NA
2020-03-04,"Murcia",NA,NA,NA,0,NA
2020-03-05,"Murcia",NA,NA,NA,0,NA
2020-03-06,"Murcia",NA,NA,NA,0,NA
2020-03-07,"Murcia",NA,NA,NA,1,NA
2020-03-08,"Murcia",NA,0,0,4,NA
2020-03-09,"Murcia",NA,0,0,9,NA
2020-03-10,"Murcia",5,0,0,11,NA
2020-03-11,"Murcia",5,1,0,26,NA
2020-03-12,"Murcia",8,2,0,35,NA
2020-03-13,"Murcia",8,2,0,47,NA
2020-03-14,"Murcia",13,2,0,71,NA
2020-03-15,"Murcia",13,2,0,77,NA
2020-03-16,"Murcia",18,3,0,97,NA
2020-03-17,"Murcia",22,4,0,122,NA
2020-03-18,"Murcia",36,6,0,167,NA
2020-03-19,"Murcia",47,11,0,204,NA
2020-03-20,"Murcia",61,14,1,240,NA
2020-03-21,"Murcia",78,16,1,296,NA
2020-03-22,"Murcia",80,23,2,345,NA
2020-03-23,"Murcia",99,26,3,385,NA
2020-03-24,"Murcia",127,33,5,477,NA
2020-03-25,"Murcia",172,36,8,596,NA
2020-03-26,"Murcia",209,53,15,714,NA
2020-03-27,"Murcia",231,58,17,802,NA
2020-03-28,"Murcia",260,58,20,872,NA
2020-03-29,"Murcia",265,58,25,939,NA
2020-03-30,"Murcia",283,59,34,974,NA
2020-03-31,"Murcia",304,59,37,1041,NA
2020-04-01,"Murcia",389,68,42,1084,NA
2020-04-02,"Murcia",405,72,46,1145,NA
2020-04-03,"Murcia",434,79,51,1188,NA
2020-04-04,"Murcia",447,80,59,1235,NA
2020-04-05,"Murcia",468,81,68,1259,NA
2020-04-06,"Murcia",500,84,78,1263,NA
2020-04-07,"Murcia",515,86,85,1305,NA
2020-04-08,"Murcia",533,87,88,1340,NA
2020-04-09,"Murcia",533,88,90,1367,NA
2020-04-10,"Murcia",533,88,94,1404,NA
2020-04-11,"Murcia",537,91,97,1436,NA
2020-04-12,"Murcia",543,94,101,1452,NA
2020-04-13,"Murcia",566,96,106,1479,NA
2020-04-14,"Murcia",574,97,109,1528,NA
2020-04-15,"Murcia",575,97,111,1590,NA
2020-04-16,"Murcia",585,99,112,1626,NA
2020-04-17,"Murcia",611,102,115,1647,NA
2020-04-18,"Murcia",612,102,116,1653,NA
2020-04-19,"Murcia",612,103,117,1659,NA
2020-04-20,"Murcia",614,104,120,1696,NA
2020-04-21,"Murcia",622,104,123,1717,NA
2020-04-22,"Murcia",624,104,124,1721,NA
2020-04-23,"Murcia",625,105,125,1741,NA
2020-04-24,"Murcia",625,105,126,1756,NA
2020-04-25,"Murcia",627,106,127,1771,NA
2020-04-26,"Murcia",627,106,128,1771,NA
2020-04-27,"Murcia",629,106,130,1793,NA
2020-04-28,"Murcia",635,106,130,1840,NA
2020-04-29,"Murcia",637,108,130,1894,NA
2020-04-30,"Murcia",638,109,132,1960,NA
2020-05-01,"Murcia",639,110,132,1966,NA
2020-05-02,"Murcia",641,110,134,1974,NA
2020-05-03,"Murcia",645,110,134,1974,NA
2020-05-04,"Murcia",650,111,136,2051,NA
2020-05-05,"Murcia",650,111,136,2133,NA
2020-05-06,"Murcia",652,111,137,2192,NA
2020-05-07,"Murcia",659,112,137,2252,NA
2020-05-08,"Murcia",662,112,138,2263,NA
2020-05-09,"Murcia",662,112,139,2329,NA
2020-05-10,"Murcia",665,112,139,2332,NA
2020-05-11,"Murcia",665,112,139,2333,NA
2020-05-12,"Murcia",666,112,142,2398,NA
2020-05-13,"Murcia",672,112,142,2437,NA
2020-05-14,"Murcia",675,112,143,2477,NA
2020-05-15,"Murcia",676,112,144,2546,NA
2020-05-16,"Murcia",676,112,144,2566,NA
2020-05-17,"Murcia",678,112,145,2595,NA
2020-05-18,"Murcia",679,112,145,2597,NA
2020-05-19,"Murcia",679,112,148,2599,NA
2020-05-20,"Murcia",680,112,149,2609,NA
2020-02-20,"Navarra",NA,NA,NA,0,NA
2020-02-21,"Navarra",NA,NA,NA,0,NA
2020-02-22,"Navarra",NA,NA,NA,0,NA
2020-02-23,"Navarra",NA,NA,NA,0,NA
2020-02-24,"Navarra",NA,NA,NA,0,NA
2020-02-25,"Navarra",NA,NA,NA,0,NA
2020-02-26,"Navarra",NA,NA,NA,0,NA
2020-02-27,"Navarra",NA,NA,NA,0,NA
2020-02-28,"Navarra",NA,NA,NA,0,NA
2020-02-29,"Navarra",NA,NA,NA,1,NA
2020-03-01,"Navarra",NA,NA,NA,1,NA
2020-03-02,"Navarra",NA,NA,NA,1,NA
2020-03-03,"Navarra",NA,NA,NA,3,NA
2020-03-04,"Navarra",NA,NA,NA,3,NA
2020-03-05,"Navarra",NA,NA,NA,3,NA
2020-03-06,"Navarra",NA,NA,NA,3,NA
2020-03-07,"Navarra",NA,NA,NA,3,NA
2020-03-08,"Navarra",NA,1,0,3,NA
2020-03-09,"Navarra",NA,2,0,12,NA
2020-03-10,"Navarra",10,3,0,46,NA
2020-03-11,"Navarra",17,3,0,73,NA
2020-03-12,"Navarra",28,4,0,130,NA
2020-03-13,"Navarra",28,4,0,146,NA
2020-03-14,"Navarra",34,4,0,183,NA
2020-03-15,"Navarra",58,5,1,274,NA
2020-03-16,"Navarra",72,10,2,313,NA
2020-03-17,"Navarra",93,10,3,386,NA
2020-03-18,"Navarra",132,11,4,482,NA
2020-03-19,"Navarra",172,19,5,554,NA
2020-03-20,"Navarra",222,25,9,664,NA
2020-03-21,"Navarra",288,30,14,794,NA
2020-03-22,"Navarra",339,40,24,886,NA
2020-03-23,"Navarra",405,45,31,1014,NA
2020-03-24,"Navarra",506,51,33,1197,NA
2020-03-25,"Navarra",649,54,49,1411,NA
2020-03-26,"Navarra",732,75,58,1641,NA
2020-03-27,"Navarra",827,84,70,1829,NA
2020-03-28,"Navarra",896,90,84,2011,NA
2020-03-29,"Navarra",955,96,102,2146,NA
2020-03-30,"Navarra",1035,99,113,2305,NA
2020-03-31,"Navarra",1120,104,130,2497,NA
2020-04-01,"Navarra",1181,108,141,2682,NA
2020-04-02,"Navarra",1284,119,151,2836,NA
2020-04-03,"Navarra",1341,120,171,2972,NA
2020-04-04,"Navarra",1399,123,178,3073,NA
2020-04-05,"Navarra",1432,124,187,3231,NA
2020-04-06,"Navarra",1488,124,202,3355,NA
2020-04-07,"Navarra",1526,124,206,3467,NA
2020-04-08,"Navarra",1526,124,214,3575,NA
2020-04-09,"Navarra",1620,124,218,3748,NA
2020-04-10,"Navarra",1641,124,227,3817,NA
2020-04-11,"Navarra",1663,124,232,3969,NA
2020-04-12,"Navarra",1693,124,239,4092,NA
2020-04-13,"Navarra",1705,124,249,4150,NA
2020-04-14,"Navarra",1731,124,252,4246,NA
2020-04-15,"Navarra",1752,124,261,4348,NA
2020-04-16,"Navarra",1781,124,338,4433,NA
2020-04-17,"Navarra",1829,127,354,4579,NA
2020-04-18,"Navarra",1843,127,369,4656,NA
2020-04-19,"Navarra",1856,128,385,4735,NA
2020-04-20,"Navarra",1877,128,397,4831,NA
2020-04-21,"Navarra",1894,128,401,4958,NA
2020-04-22,"Navarra",1907,129,409,5063,NA
2020-04-23,"Navarra",1915,129,417,5180,NA
2020-04-24,"Navarra",1937,129,429,5274,NA
2020-04-25,"Navarra",1942,129,431,5452,NA
2020-04-26,"Navarra",1942,130,432,5486,NA
2020-04-27,"Navarra",1945,130,432,5630,NA
2020-04-28,"Navarra",1951,130,448,5884,NA
2020-04-29,"Navarra",1965,132,451,6140,NA
2020-04-30,"Navarra",1977,132,458,6337,NA
2020-05-01,"Navarra",1979,132,460,6411,NA
2020-05-02,"Navarra",1986,133,462,6427,NA
2020-05-03,"Navarra",1990,133,466,6447,NA
2020-05-04,"Navarra",1995,134,471,6561,NA
2020-05-05,"Navarra",2005,135,476,6770,NA
2020-05-06,"Navarra",2015,135,480,7010,NA
2020-05-07,"Navarra",2015,135,484,7227,NA
2020-05-08,"Navarra",2021,135,487,7442,NA
2020-05-09,"Navarra",2023,135,488,7455,NA
2020-05-10,"Navarra",2029,135,490,7486,NA
2020-05-11,"Navarra",2039,135,493,7637,NA
