"date","province.x","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","provincia_code","TestAc_cum","Fallecimientos_todos","province.y","source_name","source","comments"
2020-02-26,"Almería","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-26,"Cádiz","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-26,"Córdoba","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-26,"Granada","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-26,"Huelva","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-26,"Jaén","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-26,"Málaga","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-26,"Sevilla","Andalucía",1,NA,NA,NA,0,0,0,1,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-27,"Almería","Andalucía",1,NA,NA,NA,0,0,0,1,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-27,"Cádiz","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-27,"Córdoba","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-27,"Granada","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-27,"Huelva","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-27,"Jaén","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-27,"Málaga","Andalucía",4,NA,NA,NA,0,0,0,4,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-27,"Sevilla","Andalucía",0,NA,NA,NA,0,0,0,1,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-28,"Almería","Andalucía",0,NA,NA,NA,0,0,0,1,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-28,"Cádiz","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-28,"Córdoba","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-28,"Granada","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-28,"Huelva","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-28,"Jaén","Andalucía",1,NA,NA,NA,0,0,0,1,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-28,"Málaga","Andalucía",0,NA,NA,NA,0,0,0,4,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-28,"Sevilla","Andalucía",1,NA,NA,NA,0,0,0,2,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-29,"Almería","Andalucía",0,NA,NA,NA,0,0,0,1,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-29,"Cádiz","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-29,"Córdoba","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-29,"Granada","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-29,"Huelva","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-29,"Jaén","Andalucía",0,NA,NA,NA,0,0,0,1,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-29,"Málaga","Andalucía",2,NA,NA,NA,0,0,0,6,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-02-29,"Sevilla","Andalucía",0,NA,NA,NA,0,0,0,2,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-03-01,"Almería","Andalucía",0,NA,NA,NA,0,0,0,1,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-03-01,"Cádiz","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-03-01,"Córdoba","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-03-01,"Granada","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-03-01,"Huelva","Andalucía",0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-03-01,"Jaén","Andalucía",0,NA,NA,NA,0,0,0,1,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-03-01,"Málaga","Andalucía",0,NA,NA,NA,0,0,0,6,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-03-01,"Sevilla","Andalucía",0,NA,NA,NA,0,0,0,2,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
2020-03-02,"Almería","Andalucía",0,NA,NA,NA,0,0,0,1,NA,0,NA,NA,NA,NA,"Junta de Andalucía","https://www.juntadeandalucia.es/institutodeestadisticaycartografia/badea/informe/anual?CodOper=b3_2314&idNode=42348",""
